Order Date,Region,State,Segment,Ship Mode,Category,Sub-Category,Sales,Profit
2022-01-01,Central,California,Corporate,Second Class,Furniture,Chairs,152.87,-2.15
2022-01-02,South,California,Home Office,Standard Class,Furniture,Tables,124.54,17.78
2022-01-03,East,California,Corporate,First Class,Office Supplies,Supplies,36.98,-8.01
2022-01-04,Central,Florida,Corporate,Standard Class,Technology,Accessories,528.35,-19.0
2022-01-05,Central,Washington,Home Office,First Class,Technology,Accessories,226.08,-2.33
2022-01-06,South,Florida,Consumer,Second Class,Technology,Phones,989.54,-170.82
2022-01-07,East,Washington,Home Office,Second Class,Furniture,Bookcases,578.69,-133.48
2022-01-08,East,Florida,Consumer,Second Class,Office Supplies,Supplies,146.51,29.57
2022-01-09,Central,Florida,Home Office,First Class,Technology,Accessories,691.87,1.02
2022-01-10,West,Texas,Home Office,Second Class,Office Supplies,Supplies,898.77,-261.88
2022-01-11,Central,Florida,Corporate,First Class,Furniture,Tables,747.73,135.93
2022-01-12,Central,New York,Consumer,Standard Class,Technology,Accessories,85.68,24.72
2022-01-13,Central,Texas,Corporate,First Class,Office Supplies,Binders,896.93,57.01
2022-01-14,Central,Florida,Consumer,Standard Class,Furniture,Chairs,795.99,1.77
2022-01-15,South,California,Home Office,First Class,Office Supplies,Binders,166.72,37.85
2022-01-16,East,New York,Home Office,Standard Class,Technology,Accessories,61.27,16.64
2022-01-17,South,New York,Consumer,Second Class,Technology,Copiers,561.74,85.79
2022-01-18,South,New York,Corporate,Standard Class,Furniture,Chairs,164.48,-5.38
2022-01-19,South,Texas,Corporate,Second Class,Furniture,Bookcases,836.25,46.27
2022-01-20,Central,Florida,Corporate,Second Class,Furniture,Chairs,364.75,43.97
2022-01-21,West,Florida,Corporate,Standard Class,Office Supplies,Binders,913.76,-167.62
2022-01-22,East,California,Home Office,First Class,Office Supplies,Paper,570.03,-18.06
2022-01-23,West,California,Home Office,First Class,Office Supplies,Binders,190.85,37.77
2022-01-24,South,New York,Home Office,Same Day,Furniture,Chairs,148.2,13.76
2022-01-25,South,California,Home Office,First Class,Technology,Accessories,580.71,-30.94
2022-01-26,West,Texas,Home Office,Same Day,Technology,Copiers,764.26,74.91
2022-01-27,West,Florida,Corporate,First Class,Office Supplies,Binders,783.69,-179.52
2022-01-28,West,New York,Corporate,First Class,Office Supplies,Paper,283.0,-16.73
2022-01-29,South,California,Corporate,Second Class,Technology,Phones,212.2,37.32
2022-01-30,South,Texas,Corporate,Same Day,Technology,Accessories,26.59,-4.46
2022-01-31,East,Texas,Home Office,First Class,Office Supplies,Supplies,682.41,-128.58
2022-02-01,East,California,Home Office,Same Day,Office Supplies,Supplies,85.8,23.21
2022-02-02,South,Florida,Home Office,Second Class,Technology,Accessories,426.55,-74.25
2022-02-03,West,California,Consumer,Second Class,Furniture,Tables,605.67,-86.88
2022-02-04,West,New York,Corporate,Same Day,Office Supplies,Paper,937.74,264.23
2022-02-05,East,California,Corporate,Second Class,Technology,Copiers,318.68,44.88
2022-02-06,South,Texas,Home Office,Standard Class,Technology,Phones,257.27,30.81
2022-02-07,East,California,Corporate,Standard Class,Technology,Copiers,657.62,139.25
2022-02-08,East,Florida,Corporate,Second Class,Technology,Accessories,623.05,-143.62
2022-02-09,Central,Washington,Home Office,Standard Class,Furniture,Tables,338.79,41.87
2022-02-10,Central,California,Consumer,First Class,Technology,Copiers,928.82,2.06
2022-02-11,Central,Florida,Consumer,Same Day,Office Supplies,Paper,846.41,167.16
2022-02-12,West,Florida,Consumer,First Class,Furniture,Bookcases,231.74,1.13
2022-02-13,South,Texas,Home Office,Same Day,Technology,Accessories,246.75,17.8
2022-02-14,South,Florida,Corporate,Second Class,Furniture,Chairs,517.18,-6.91
2022-02-15,South,Florida,Home Office,First Class,Office Supplies,Binders,775.84,-10.17
2022-02-16,South,Florida,Home Office,Second Class,Technology,Accessories,53.6,8.62
2022-02-17,Central,Florida,Corporate,Second Class,Office Supplies,Supplies,696.4,53.72
2022-02-18,West,New York,Consumer,Same Day,Technology,Phones,651.75,52.11
2022-02-19,West,New York,Consumer,Same Day,Technology,Copiers,239.17,-7.13
2022-02-20,Central,Texas,Home Office,Same Day,Technology,Accessories,684.54,12.78
2022-02-21,West,California,Consumer,First Class,Technology,Copiers,940.78,138.7
2022-02-22,Central,Florida,Home Office,Standard Class,Technology,Phones,56.32,11.01
2022-02-23,South,California,Home Office,Same Day,Furniture,Bookcases,326.46,38.5
2022-02-24,Central,California,Corporate,Same Day,Technology,Copiers,443.79,112.92
2022-02-25,South,Texas,Corporate,First Class,Technology,Accessories,900.27,173.03
2022-02-26,South,Florida,Corporate,Same Day,Furniture,Tables,962.64,35.73
2022-02-27,East,Florida,Home Office,First Class,Furniture,Tables,449.67,46.25
2022-02-28,Central,Washington,Corporate,Second Class,Furniture,Chairs,752.53,192.49
2022-03-01,East,California,Consumer,Same Day,Furniture,Chairs,536.34,38.35
2022-03-02,Central,California,Consumer,Same Day,Furniture,Tables,542.41,105.71
